trial,text1,image1,image2,image3,image4
1,eating,0.96875,0.0125,0.008333333333333333,0.010416666666666666
2,picking,0.9454926624737946,0.006289308176100629,0.0041928721174004195,0.0440251572327044
3,sitting,0.9596602972399151,0.010615711252653927,0.014861995753715499,0.014861995753715499
4,running,0.9503105590062112,0.014492753623188406,0.012422360248447204,0.022774327122153208
5,long,0.9770833333333333,0.00625,0.00625,0.010416666666666666
6,tall,0.9290187891440501,0.025052192066805846,0.029227557411273485,0.016701461377870562
7,red,0.9708333333333333,0.010416666666666666,0.010416666666666666,0.008333333333333333
8,black,0.9678800856531049,0.006423982869379015,0.008565310492505354,0.017130620985010708
9,the boy is running,0.9639065817409767,0.006369426751592357,0.014861995753715499,0.014861995753715499
10,the big cup,0.9338842975206612,0.010330578512396695,0.02066115702479339,0.03512396694214876
11,the dog is sitting,0.9619450317124736,0.019027484143763214,0.006342494714587738,0.012684989429175475
12,the red ball,0.9693877551020408,0.01020408163265306,0.01020408163265306,0.01020408163265306
13,the boy is not running,0.9208333333333333,0.05416666666666667,0.010416666666666666,0.014583333333333334
14,the dog is not drinking,0.9456066945606695,0.02092050209205021,0.027196652719665274,0.006276150627615063
15,the girl is not jumping,0.9517819706498952,0.006289308176100629,0.03773584905660377,0.0041928721174004195
16,the dog is not sitting,0.951063829787234,0.03404255319148936,0.006382978723404255,0.00851063829787234
17,the boy is jumping over the box,0.9625,0.0125,0.0125,0.0125
18,the girl is sitting on the table,0.9481327800829875,0.016597510373443983,0.02074688796680498,0.014522821576763486
19,the man is eating the apple,0.9577167019027484,0.014799154334038054,0.019027484143763214,0.008456659619450317
20,the lady is carrying the bag,0.9096638655462185,0.04831932773109244,0.023109243697478993,0.01680672268907563
21,they are sitting on the table,0.9311827956989247,0.03655913978494624,0.015053763440860216,0.015053763440860216
22,the cow is looking at them,0.9016736401673641,0.027196652719665274,0.060669456066945605,0.010460251046025104
23,they are jumping over the wall,0.9163179916317992,0.02510460251046025,0.043933054393305436,0.014644351464435146
24,the elephant is carrying them,0.9232365145228216,0.008298755186721992,0.03734439834024896,0.03112033195020747
25,the girl is pushing the horse,0.9393305439330544,0.02510460251046025,0.010460251046025104,0.02510460251046025
26,the boy is chasing the sheep,0.9351464435146444,0.029288702928870293,0.02092050209205021,0.014644351464435146
27,the man is chasing the dog,0.9381663113006397,0.029850746268656716,0.019189765458422176,0.01279317697228145
28,the cow is pushing the lady,0.9517819706498952,0.014675052410901468,0.012578616352201259,0.020964360587002098
29,the cats look at the ball,0.8991596638655462,0.01050420168067227,0.06092436974789916,0.029411764705882353
30,the boy stands on the chairs,0.8389121338912134,0.02092050209205021,0.02510460251046025,0.11506276150627615
31,the boys pick the apples,0.859538784067086,0.010482180293501049,0.11530398322851153,0.014675052410901468
32,the girl drops the cups,0.8891213389121339,0.008368200836820083,0.010460251046025104,0.09205020920502092
33,the fork is longer than the pencil,0.8765957446808511,0.010638297872340425,0.027659574468085105,0.08297872340425531
34,the box is bigger than the cup,0.9453781512605042,0.02100840336134454,0.008403361344537815,0.025210084033613446
35,the shoe is bigger than the bird,0.9112050739957717,0.016913319238900635,0.010570824524312896,0.0613107822410148
36,the horse is taller than the wall,0.9264705882352942,0.012605042016806723,0.012605042016806723,0.04831932773109244
37,the girl is chased by the horse,0.906054279749478,0.033402922755741124,0.031315240083507306,0.027139874739039668
